time_s,duty_permille,duty_ratio,encoder_count,delta_count,rpm,rad_per_second,sample_time_s,host_time_s
10.75,600,0.6,60469,-24,-184.615,-19.332,0.0500000000000007,12.3293119
10.8,600,0.6,60445,-24,-184.615,-19.332,0.0499999999999989,12.3888164
10.85,600,0.6,60422,-23,-176.923,-18.527,0.0500000000000007,12.4229835
10.9,600,0.6,60398,-24,-184.615,-19.332,0.0500000000000007,12.479432
10.95,600,0.6,60374,-24,-184.615,-19.332,0.0499999999999989,12.5700598
11,600,0.6,60351,-23,-176.923,-18.527,0.0500000000000007,12.5758283
11.05,600,0.6,60327,-24,-184.615,-19.332,0.0499999999999989,12.6588576
11.1,600,0.6,60304,-23,-176.923,-18.527,0.0500000000000007,12.6701828
11.15,600,0.6,60280,-24,-184.615,-19.332,0.0500000000000007,12.7499706
11.2,600,0.6,60256,-24,-184.615,-19.332,0.0499999999999989,12.7644307
11.25,600,0.6,60232,-24,-184.615,-19.332,0.0500000000000007,12.8417529
11.3,600,0.6,60208,-24,-184.615,-19.332,0.0499999999999989,12.8651606
11.35,600,0.6,60184,-24,-184.615,-19.332,0.0500000000000007,12.9317004
11.4,600,0.6,60161,-23,-176.923,-18.527,0.0500000000000007,12.965416
11.45,600,0.6,60137,-24,-184.615,-19.332,0.0499999999999989,13.0275354
11.5,600,0.6,60114,-23,-176.923,-18.527,0.0500000000000007,13.1154399
11.55,600,0.6,60090,-24,-184.615,-19.332,0.0499999999999989,13.1218155
11.6,600,0.6,60066,-24,-184.615,-19.332,0.0500000000000007,13.211421
11.65,600,0.6,60042,-24,-184.615,-19.332,0.0500000000000007,13.2153525
11.7,600,0.6,60019,-23,-176.923,-18.527,0.0499999999999989,13.3081318
11.75,600,0.6,59996,-23,-176.923,-18.527,0.0500000000000007,13.3219562
11.8,600,0.6,59972,-24,-184.615,-19.332,0.0499999999999989,13.4008452
11.85,600,0.6,59948,-24,-184.615,-19.332,0.0500000000000007,13.4247466
11.9,600,0.6,59925,-23,-176.923,-18.527,0.0500000000000007,13.4907252
11.95,600,0.6,59901,-24,-184.615,-19.332,0.0499999999999989,13.5194484
12,600,0.6,59877,-24,-184.615,-19.332,0.0500000000000007,13.5821381
12.05,600,0.6,59854,-23,-176.923,-18.527,0.0499999999999989,13.6272123
12.1,600,0.6,59830,-24,-184.615,-19.332,0.0500000000000007,13.6743838
12.15,600,0.6,59806,-24,-184.615,-19.332,0.0500000000000007,13.7205603
12.2,600,0.6,59782,-24,-184.615,-19.332,0.0499999999999989,13.7675247
12.25,600,0.6,59758,-24,-184.615,-19.332,0.0500000000000007,13.8151927
12.3,600,0.6,59735,-23,-176.923,-18.527,0.0499999999999989,13.8770971
12.35,600,0.6,59712,-23,-176.923,-18.527,0.0500000000000007,13.9509312
12.4,600,0.6,59688,-24,-184.615,-19.332,0.0500000000000007,13.9721535
12.45,600,0.6,59664,-24,-184.615,-19.332,0.0499999999999989,14.0450315
12.5,601,0.601,59640,-24,-184.615,-19.332,0.0500000000000007,14.0671077
12.55,602,0.602,59617,-23,-176.923,-18.527,0.0499999999999989,14.1346358
12.6,603,0.603,59594,-23,-176.923,-18.527,0.0500000000000007,14.1763018
12.65,605,0.605,59570,-24,-184.615,-19.332,0.0500000000000007,14.2245202
12.7,606,0.606,59546,-24,-184.615,-19.332,0.0499999999999989,14.2706145
12.75,607,0.607,59522,-24,-184.615,-19.332,0.0500000000000007,14.3194556
12.8,609,0.609,59498,-24,-184.615,-19.332,0.0499999999999989,14.4096419
12.85,610,0.61,59474,-24,-184.615,-19.332,0.0500000000000007,14.4146294
12.9,611,0.611,59450,-24,-184.615,-19.332,0.0500000000000007,14.5005211
12.95,613,0.613,59426,-24,-184.615,-19.332,0.0499999999999989,14.5211564
13,614,0.614,59401,-25,-192.307,-20.138,0.0500000000000007,14.5992546
13.05,615,0.615,59377,-24,-184.615,-19.332,0.0499999999999989,14.6150327
13.1,617,0.617,59352,-25,-192.307,-20.138,0.0500000000000007,14.6906852
13.15,618,0.618,59328,-24,-184.615,-19.332,0.0500000000000007,14.7294497
13.2,620,0.62,59304,-24,-184.615,-19.332,0.0499999999999989,14.7829287
13.25,621,0.621,59279,-25,-192.307,-20.138,0.0500000000000007,14.815173
13.3,622,0.622,59255,-24,-184.615,-19.332,0.0499999999999989,14.8774924
13.35,624,0.624,59230,-25,-192.307,-20.138,0.0500000000000007,14.9253689
13.4,625,0.625,59206,-24,-184.615,-19.332,0.0500000000000007,14.9717987
13.45,627,0.627,59181,-25,-192.307,-20.138,0.0499999999999989,15.0196656
13.5,628,0.628,59156,-25,-192.307,-20.138,0.0500000000000007,15.0666238
13.55,630,0.63,59131,-25,-192.307,-20.138,0.0499999999999989,15.149681
13.6,631,0.631,59106,-25,-192.307,-20.138,0.0500000000000007,15.1663424
13.65,633,0.633,59081,-25,-192.307,-20.138,0.0500000000000007,15.2401992
13.7,634,0.634,59056,-25,-192.307,-20.138,0.0499999999999989,15.2752747
13.75,636,0.636,59030,-26,-200,-20.943,0.0500000000000007,15.3267526
13.8,637,0.637,59005,-25,-192.307,-20.138,0.0499999999999989,15.3694567
13.85,639,0.639,58980,-25,-192.307,-20.138,0.0500000000000007,15.4159497
13.9,640,0.64,58954,-26,-200,-20.943,0.0500000000000007,15.4999621
13.95,642,0.642,58928,-26,-200,-20.943,0.0499999999999989,15.5232944
14,643,0.643,58904,-24,-184.615,-19.332,0.0500000000000007,15.5875216
14.05,645,0.645,58878,-26,-200,-20.943,0.0499999999999989,15.6160991
14.1,646,0.646,58852,-26,-200,-20.943,0.0500000000000007,15.6784068
14.15,648,0.648,58826,-26,-200,-20.943,0.0500000000000007,15.7252137
14.2,649,0.649,58800,-26,-200,-20.943,0.0499999999999989,15.7719655
14.25,651,0.651,58775,-25,-192.307,-20.138,0.0500000000000007,15.854257
14.3,653,0.653,58749,-26,-200,-20.943,0.0499999999999989,15.8653455
14.35,654,0.654,58723,-26,-200,-20.943,0.0500000000000007,15.9536307
14.4,656,0.656,58697,-26,-200,-20.943,0.0500000000000007,15.9741534
14.45,657,0.657,58670,-27,-207.692,-21.749,0.0499999999999989,16.0492065
14.5,659,0.659,58644,-26,-200,-20.943,0.0500000000000007,16.0750721
14.55,661,0.661,58618,-26,-200,-20.943,0.0499999999999989,16.1458313
14.6,662,0.662,58591,-27,-207.692,-21.749,0.0500000000000007,16.1665695
14.65,664,0.664,58564,-27,-207.692,-21.749,0.0500000000000007,16.2347472
14.7,665,0.665,58538,-26,-200,-20.943,0.0499999999999989,16.2662028
14.75,667,0.667,58512,-26,-200,-20.943,0.0500000000000007,16.3193476
14.8,669,0.669,58485,-27,-207.692,-21.749,0.0499999999999989,16.3661749
14.85,670,0.67,58458,-27,-207.692,-21.749,0.0500000000000007,16.4218562
14.9,672,0.672,58432,-26,-200,-20.943,0.0500000000000007,16.4933979
14.95,674,0.674,58404,-28,-215.384,-22.555,0.0499999999999989,16.5157654
15,675,0.675,58378,-26,-200,-20.943,0.0500000000000007,16.5807032
15.05,677,0.677,58350,-28,-215.384,-22.555,0.0499999999999989,16.6222167
15.1,679,0.679,58324,-26,-200,-20.943,0.0500000000000007,16.6777545
15.15,680,0.68,58296,-28,-215.384,-22.555,0.0500000000000007,16.7574344
15.2,682,0.682,58268,-28,-215.384,-22.555,0.0499999999999989,16.7667847
15.25,684,0.684,58241,-27,-207.692,-21.749,0.0500000000000007,16.844806
15.3,685,0.685,58214,-27,-207.692,-21.749,0.0499999999999989,16.875541
15.35,687,0.687,58186,-28,-215.384,-22.555,0.0500000000000007,16.9335595
15.4,689,0.689,58158,-28,-215.384,-22.555,0.0500000000000007,16.9684377
15.45,690,0.69,58130,-28,-215.384,-22.555,0.0499999999999989,17.0194096
15.5,692,0.692,58102,-28,-215.384,-22.555,0.0500000000000007,17.0672584
15.55,694,0.694,58075,-27,-207.692,-21.749,0.0499999999999989,17.1149734
15.6,695,0.695,58047,-28,-215.384,-22.555,0.0500000000000007,17.1917765
15.65,697,0.697,58019,-28,-215.384,-22.555,0.0500000000000007,17.2251457
15.7,699,0.699,57991,-28,-215.384,-22.555,0.0499999999999989,17.2809637
15.75,700,0.7,57963,-28,-215.384,-22.555,0.0500000000000007,17.3194277
15.8,702,0.702,57934,-29,-223.076,-23.36,0.0499999999999989,17.3703041
15.85,704,0.704,57906,-28,-215.384,-22.555,0.0500000000000007,17.4597451
15.9,705,0.705,57878,-28,-215.384,-22.555,0.0500000000000007,17.4737692
15.95,707,0.707,57849,-29,-223.076,-23.36,0.0499999999999989,17.5493316
16,709,0.709,57820,-29,-223.076,-23.36,0.0500000000000007,17.5674033
16.05,710,0.71,57792,-28,-215.384,-22.555,0.0500000000000007,17.6382383
16.1,712,0.712,57763,-29,-223.076,-23.36,0.0499999999999972,17.6669184
16.15,714,0.714,57734,-29,-223.076,-23.36,0.0500000000000007,17.7276778
